site,date,value
1,2015-01-01,-0.38568138349112047
1,2015-01-02,-0.3914658289948501
1,2015-01-03,-0.38990481482230144
1,2015-01-04,-0.39980573253962315
1,2015-01-05,-0.39525401860726145
1,2015-01-06,-0.3992159296246299
1,2015-01-07,-0.39173835691278297
1,2015-01-08,-0.3996207458037807
1,2015-01-09,-0.3971284992193993
1,2015-01-10,-0.38171482750012037
1,2015-01-11,-0.3734014105564562
1,2015-01-12,-0.39425179749081263
1,2015-01-13,-0.3723809944652796
1,2015-01-14,-0.3858859712988231
1,2015-01-15,-0.39602672081262813
1,2015-01-16,-0.3706445415038346
1,2015-01-17,-0.29846687597062677
1,2015-01-18,-0.37143986664809336
1,2015-01-19,-0.39445528799063495
1,2015-01-20,-0.3767689624555626
1,2015-01-21,-0.3650107238254341
1,2015-01-22,-0.38907170379742084
1,2015-01-23,-0.3754571861277885
1,2015-01-24,-0.36180582786031135
1,2015-01-25,-0.38952488388997636
1,2015-01-26,-0.3730883277951332
1,2015-01-27,-0.3573189315703241
1,2015-01-28,-0.35815478346414364
1,2015-01-29,-0.3861017574840969
1,2015-01-30,-0.3578253589537976
1,2015-01-31,-0.35901517293728685
1,2015-02-01,-0.37751835691522834
1,2015-02-02,-0.40055044416585983
1,2015-02-03,-0.39079553552508783
1,2015-02-04,-0.4030189193960704
1,2015-02-05,-0.4018184533306472
1,2015-02-06,-0.4003025996648197
1,2015-02-07,-0.3867637379835115
1,2015-02-08,-0.38847843288124967
1,2015-02-09,-0.4055331762435593
1,2015-02-10,-0.4002862415243715
1,2015-02-11,-0.3661712000321084
1,2015-02-12,-0.37170083583856384
1,2015-02-13,-0.37401298444371145
1,2015-02-14,-0.36593486061124936
1,2015-02-15,-0.35401949010804534
1,2015-02-16,-0.34996847252990004
1,2015-02-17,-0.3865977669202695
1,2015-02-18,-0.3753032754193751
1,2015-02-19,-0.3929393244715078
1,2015-02-20,-0.3957178173314847
1,2015-02-21,-0.34843399041651163
1,2015-02-22,-0.3696787024067392
1,2015-02-23,-0.3828137191618062
1,2015-02-24,-0.3896729566691186
1,2015-02-25,-0.36521104361329515
1,2015-02-26,-0.3915555705361058
1,2015-02-27,-0.3944719020459513
1,2015-02-28,-0.39163977818065
1,2015-03-01,-0.38225079664387246
1,2015-03-02,-0.2998272930449463
1,2015-03-03,-0.30880117261972934
1,2015-03-04,-0.27176279802461356
1,2015-03-05,-0.348102342708386
1,2015-03-06,-0.38637308958220706
1,2015-03-07,-0.36465644928267765
1,2015-03-08,-0.3903320126289737
1,2015-03-09,-0.37906258528143294
1,2015-03-10,-0.3827838801978495
1,2015-03-11,-0.3741968529616016
1,2015-03-12,-0.38320449930385975
1,2015-03-13,-0.3683784920422014
1,2015-03-14,-0.3617760534140213
1,2015-03-15,-0.37629753006648536
1,2015-03-16,-0.3923155746023205
1,2015-03-17,-0.37470773167151805
1,2015-03-18,-0.3496922053702781
1,2015-03-19,-0.35262536121594507
1,2015-03-20,-0.3846904600719406
1,2015-03-21,-0.3849119762850743
1,2015-03-22,-0.3945724554958594
1,2015-03-23,-0.3998769374111332
1,2015-03-24,-0.39225099749865794
1,2015-03-25,-0.38395810766648847
1,2015-03-26,-0.4063829762457847
1,2015-03-27,-0.38313731793457145
1,2015-03-28,-0.39922006571060836
1,2015-03-29,-0.4068334352363957
1,2015-03-30,-0.39942277848957625
1,2015-03-31,-0.3916464731033991
1,2015-04-01,-0.388122490989302
1,2015-04-02,-0.3980210122825039
1,2015-04-03,-0.37811659890744037
1,2015-04-04,-0.37727140315333074
1,2015-04-05,-0.39906535086344724
1,2015-04-06,-0.40828491795421157
1,2015-04-07,-0.417474777523292
1,2015-04-08,-0.41074890797686864
1,2015-04-09,-0.4032106518555432
1,2015-04-10,-0.40538860131355337
1,2015-04-11,-0.39752810581119497
1,2015-04-12,-0.4035845530924104
1,2015-04-13,-0.39867385584938997
1,2015-04-14,-0.40775655089614854
1,2015-04-15,-0.38523725035605133
1,2015-04-16,-0.31412465606046913
1,2015-04-17,-0.39866308567560776
1,2015-04-18,-0.4159080382409615
1,2015-04-19,-0.39298367488061803
1,2015-04-20,-0.3695613523303908
1,2015-04-21,-0.3683512623153674
1,2015-04-22,-0.3915147367827758
1,2015-04-23,-0.40708142753793447
1,2015-04-24,-0.4123955719471391
1,2015-04-25,-0.38496368155465527
1,2015-04-26,-0.40917903808605194
1,2015-04-27,-0.37675121360515906
1,2015-04-28,-0.36800987545768027
1,2015-04-29,-0.4010771095394119
1,2015-04-30,-0.39187762540312254
1,2015-05-01,-0.3717356021941342
1,2015-05-02,-0.3955906773126027
1,2015-05-03,-0.395032051279499
1,2015-05-04,-0.3723145045164516
1,2015-05-05,-0.37786069134477435
1,2015-05-06,-0.3799227577155929
1,2015-05-07,-0.36080781085001756
1,2015-05-08,-0.3854867551421237
1,2015-05-09,-0.39410483833286636
1,2015-05-10,-0.3713087840349016
1,2015-05-11,-0.38967122510917285
1,2015-05-12,-0.3776292611166747
1,2015-05-13,-0.3767338292933433
1,2015-05-14,-0.4066393781350748
1,2015-05-15,-0.4219975409693493
1,2015-05-16,-0.4058933287976274
1,2015-05-17,-0.37824918815357533
1,2015-05-18,-0.38856032302548926
1,2015-05-19,-0.3707753879412379
1,2015-05-20,-0.27602991653187675
1,2015-05-21,-0.3183586356002749
1,2015-05-22,-0.3243227366870231
1,2015-05-23,-0.32305887593917443
1,2015-05-24,-0.3553606362248181
1,2015-05-25,-0.34288240285262983
1,2015-05-26,-0.3351006688698566
1,2015-05-27,-0.26753222021789613
1,2015-05-28,-0.2589227025988642
1,2015-05-29,-0.14766227935868226
1,2015-05-30,-0.16676542394021662
1,2015-05-31,-0.336550039315079
1,2015-06-01,-0.3666734685897825
1,2015-06-02,-0.38523241433406596
1,2015-06-03,-0.3414280064116196
1,2015-06-04,-0.16832519435018456
1,2015-06-05,-0.1499299074348953
1,2015-06-06,-0.3359287161830671
1,2015-06-07,-0.3085080427846021
1,2015-06-08,-0.10035839503753197
1,2015-06-09,0.012527745043049435
1,2015-06-10,0.11884989154255905
1,2015-06-11,-0.1544295474894004
1,2015-06-12,0.0819898206946897
1,2015-06-13,-0.003758364906954143
1,2015-06-14,-0.20318312023646742
1,2015-06-15,-0.08588238263640258
1,2015-06-16,-0.13003081973335495
1,2015-06-17,0.021573197922390697
1,2015-06-18,-0.1813096999281945
1,2015-06-19,-0.2365722045063218
1,2015-06-20,-0.12628839830911745
1,2015-06-21,7.385649555764581e-4
1,2015-06-22,-0.04870595168109639
1,2015-06-23,0.34985381658828796
1,2015-06-24,0.23685267353231812
1,2015-06-25,0.152802745280474
1,2015-06-26,0.2984955186327712
1,2015-06-27,0.16071355492647701
1,2015-06-28,0.16140616622487786
1,2015-06-29,0.21847912518307339
1,2015-06-30,0.3540020280223711
1,2015-07-01,0.32257893733713106
1,2015-07-02,0.17439779961324262
1,2015-07-03,0.3288660711151489
1,2015-07-04,0.3526362682205598
1,2015-07-05,0.31786159059647123
1,2015-07-06,0.28522999641325736
1,2015-07-07,0.28127333370582863
1,2015-07-08,0.3192410429381368
1,2015-07-09,0.35172979834369306
1,2015-07-10,0.30627638919395744
1,2015-07-11,0.2830747561091631
1,2015-07-12,0.27149253013416036
1,2015-07-13,0.30975860580709036
1,2015-07-14,0.37545469173022306
1,2015-07-15,0.2599995538358736
1,2015-07-16,0.21176271021912116
1,2015-07-17,0.3363710847969329
1,2015-07-18,0.28328753506442156
1,2015-07-19,0.21324064104457735
1,2015-07-20,0.2978125128881285
1,2015-07-21,0.21511741147834318
1,2015-07-22,0.1716983336598295
1,2015-07-23,0.09851160851902886
1,2015-07-24,0.018556044323562674
1,2015-07-25,0.03908216346487058
1,2015-07-26,0.06845340706628082
1,2015-07-27,-0.006016391584583414
1,2015-07-28,0.06725369833160992
1,2015-07-29,0.1898972940858293
1,2015-07-30,0.11247970188380084
1,2015-07-31,-0.11985059813116092
1,2015-08-01,0.0889323370619077
1,2015-08-02,0.2690603766388997
1,2015-08-03,0.016748096424412412
1,2015-08-04,-0.20273278781120171
1,2015-08-05,-0.25865065861881087
1,2015-08-06,-0.04075190758885168
1,2015-08-07,0.05571042165924659
1,2015-08-08,-0.04819850342999285
1,2015-08-09,-0.06296442021844981
1,2015-08-10,0.2899971176317144
1,2015-08-11,0.13010763954920457
1,2015-08-12,-0.30868538158932773
1,2015-08-13,-0.34317638249202814
1,2015-08-14,-0.21814939082870488
1,2015-08-15,-0.0771525705947332
1,2015-08-16,0.20128449405625043
1,2015-08-17,0.18644798630714776
1,2015-08-18,0.2128958203842608
1,2015-08-19,0.09119082594639175
1,2015-08-20,-0.09584701507244006
1,2015-08-21,0.06108714963880459
1,2015-08-22,0.09217519295884215
1,2015-08-23,-0.11728638539077098
1,2015-08-24,-0.08827666673082893
1,2015-08-25,0.15670036674840676
1,2015-08-26,-0.2449938280021847
1,2015-08-27,-0.38132149594115167
1,2015-08-28,-0.21396759201551643
1,2015-08-29,0.026675805467948302
1,2015-08-30,-0.12524129762134198
1,2015-08-31,-0.2145953633786724
1,2015-09-01,-0.13931266875065515
1,2015-09-02,-0.01647374109818723
1,2015-09-03,-0.12731655014037058
1,2015-09-04,-0.07710655823028745
1,2015-09-05,0.010521763138515383
1,2015-09-06,-0.1836465364697006
1,2015-09-07,-0.32169021679257537
1,2015-09-08,-0.06021106720997935
1,2015-09-09,-0.18021195266882373
1,2015-09-10,-0.3158352170955806
1,2015-09-11,-0.1656711006768147
1,2015-09-12,-0.18876008006687114
1,2015-09-13,-0.3704423238035099
1,2015-09-14,-0.35835688822828693
1,2015-09-15,-0.3111858854955424
1,2015-09-16,-0.29170412907413396
1,2015-09-17,-0.3168350764567702
1,2015-09-18,-0.259127303448648
1,2015-09-19,-0.2617941178143367
1,2015-09-20,-0.31007283668224844
1,2015-09-21,-0.3237822065319638
1,2015-09-22,-0.3532227617075869
1,2015-09-23,-0.31122463260740463
1,2015-09-24,-0.3128194142322861
1,2015-09-25,-0.3358521375020266
1,2015-09-26,-0.3422563422379518
1,2015-09-27,-0.34479308149061444
1,2015-09-28,-0.36956847854857905
1,2015-09-29,-0.37284373045853
1,2015-09-30,-0.3946003417118289
1,2015-10-01,-0.3879751869994327
1,2015-10-02,-0.3390169357534825
1,2015-10-03,-0.368580777581305
1,2015-10-04,-0.4058439049733751
1,2015-10-05,-0.38595337893983317
1,2015-10-06,-0.3360722783420394
1,2015-10-07,-0.3913633720008194
1,2015-10-08,-0.39254206200005043
1,2015-10-09,-0.3727582146323266
1,2015-10-10,-0.43244980908320585
1,2015-10-11,-0.42951473533800644
1,2015-10-12,-0.3368398728917693
1,2015-10-13,-0.4251962256917147
1,2015-10-14,-0.4356807619605803
1,2015-10-15,-0.3831312809681228
1,2015-10-16,-0.42925823644535127
1,2015-10-17,-0.4389004491856729
1,2015-10-18,-0.4195373686972419
1,2015-10-19,-0.4188884149197757
1,2015-10-20,-0.43137886075551
1,2015-10-21,-0.4374875223179962
1,2015-10-22,-0.44108896710519013
