V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
712289.2634924913,252541.89329860706,-478637.4418257118,-595243.1729743509,-612849.3391240465,-1358243.277183948,-535739.6534694365,1620578.126581441,-665136.05740289,-146247.2207659403,2050607.6810037824,141817.01203493547,-252284.7006855769,941460.9972760029,-796122.1221421348,244920.28479198646,-273031.59245787264,291013.3352775795,-922271.186168942,-942589.7496673714,-468037.53426469123,-1146884.8307511257,-134694.48802903263,-221705.7309330919,-833401.1177893871,-73008.86817026949,226734.07180153154,32167.462829763674,1002683.5333867301,355156.1366186783,782800.4163443088,91226.9378536376,-1024151.9410088961,-1866803.2094645798,322931.12079234794,368625.1138843295,-812831.4910759617,-721798.1735642975,1347802.5742282965,912618.6750933297,-334207.5069495082,-1814996.6741135498,-505622.54462095245,663976.9490733665,538074.9551376898,1501040.7680596472,813181.1466710931,-901330.8281214125,-405771.13582865737,361422.7666177684,-960356.3157531387,77470.8180191682,242786.03399888967,608507.6305070893,306250.7110718379,-2052184.6705449547
252541.89329860706,89541.13677834324,-169701.51302408648,-211044.33499481776,-217284.65715782184,-481565.02216468693,-189947.81385854702,574575.4801397494,-235823.66079317607,-51851.232102875445,727044.1901446375,50281.575872004556,-89448.65369212354,333797.1416838845,-282265.95533007465,86835.71475249952,-96804.45501618783,103180.02193930671,-326991.57485182106,-334197.0515996539,-165942.87924826238,-406629.5070372498,-47756.89482894337,-78606.2659210977,-295483.8475238965,-25886.147753369638,80389.11972998531,11406.121854320543,355500.56130454934,125921.16424740989,277541.3857786788,32344.866473040584,-363113.3500262217,-661876.892257176,114495.57619806836,130696.81662250393,-288191.2117094156,-255913.2248528595,477864.1768122749,323571.5954783832,-118495.2583081311,-643508.002137913,-179267.36567942434,235414.1830686259,190775.76065371349,532194.8933080877,288314.7401269168,-319567.168192185,-143867.5076639276,128142.12223446082,-340494.8460202047,27466.508820195584,86079.76773780919,215746.39311032824,108581.66163232627,-727603.494575666
-478637.4418257118,-169701.51302408648,321630.57396500144,399986.2619527814,411816.4827263056,912699.7082866713,360001.8697331256,-1088980.7348088154,446951.83288405166,98273.5930014744,-1377948.6068016482,-95296.89819913452,169528.37918598915,-632634.8019392121,534971.0057434362,-164578.82703521266,183469.54926682595,-195552.78189028864,619739.3247247419,633393.3269840854,314507.6126941525,770673.3621754515,90511.00386654245,148979.97537451336,560021.5250094953,49060.133537891554,-152358.65971485103,-21616.134152431376,-673773.6175160254,-238654.65597917602,-526018.6434023676,-61302.04869514045,688200.1419562843,1254437.5211584566,-217000.31949323547,-247705.52394730411,546199.3854244018,485027.117335895,-905684.0813132977,-613253.7391570034,224578.2675631395,1219624.7096217843,339763.08249318425,-446173.412243312,-361571.04514111066,-1008655.6667790181,-546434.395967893,605668.2550502417,272666.72150020115,-242865.407365949,645331.2481077649,-52057.798411021846,-163145.10610977153,-408899.3235681007,-205791.4912244278,1379008.2629135265
-595243.1729743509,-211044.33499481776,399986.2619527814,497431.03025918157,512143.2462695441,1135051.7296636114,447705.5319225115,-1354278.5986230266,555838.3349366356,122215.01705106311,-1713644.9007572294,-118513.26720742753,210828.8576118095,-786757.6358687709,665300.7902486115,-204673.72664154065,228166.51816833203,-243193.50299794573,770720.376049056,787700.7968234896,391127.9778706776,958425.1641522622,112561.4100639194,185274.4710809193,696454.245340284,61012.17256202704,-189476.52847368523,-26882.119714380555,-837918.5148190464,-296795.8423437095,-654167.5568967982,-76236.37538766999,855859.6827680243,1560044.0795108473,-269866.0375566405,-308051.6353811208,679264.8448792128,603189.5227180554,-1126327.0878402044,-762654.9983203199,279290.1888459253,1516750.1953269897,422536.3116696739,-554870.355565244,-449657.10576857155,-1254384.6741711602,-679556.8739843912,753221.0564694364,339093.9403849941,-302032.3213027252,802547.2573493765,-64740.17808456722,-202890.54097269208,-508515.447559865,-255926.65980010355,1714962.815804997
-612849.3391240465,-217284.65715782184,411816.4827263056,512143.2462695441,527292.149646709,1168624.1198123684,460946.6168460758,-1394335.517542206,572279.048336189,125830.42541744588,-1764329.7147080514,-122018.34288932414,217063.830590299,-810026.4827910769,684978.217597496,-210728.1178957005,234914.3019800719,-250385.64394826847,793516.3084788227,810997.7715924823,402696.53306063,986772.0567063381,115889.96327650938,190754.0876753963,717052.6359404746,62816.11021173169,-195080.38070054,-27676.338499162754,-862702.9592427043,-305573.96872472716,-673516.7574214214,-78491.00541572152,881173.8780321338,1606185.2615776788,-277847.79181684187,-317162.4983147179,699354.5604828399,621030.7670262156,-1159640.717166949,-785210.547011072,287549.4091350595,1561611.5367354068,435034.85913689097,-571281.276230475,-462955.9568018018,-1291485.8710684823,-699655.5804164264,775499.413156132,349122.52055568265,-310966.0137013431,826284.3954237818,-66655.64775512877,-208891.60625872103,-523556.1872675239,-263496.0198980249,1765686.460737778
-1358243.277183948,-481565.02216468693,912699.7082866713,1135051.7296636114,1168624.1198123684,2589993.9400619064,1021586.4003996748,-3090232.2196215475,1268328.1956462734,278874.35575111234,-3910243.1775721237,-270426.61044100014,481074.50909760775,-1795244.3270099927,1518101.8258184996,-467030.9105019715,520635.99180378666,-554924.8469255134,1758651.6711141197,1797396.8146152843,892486.9971857824,2186960.820804497,256845.01930937252,422764.2397856564,1589188.0502834811,139218.6269880548,-432352.3775821239,-61339.56067205662,-1911987.3383221135,-677236.7593205741,-1492698.6955223875,-173958.12186846172,1952925.0015352638,3559751.906893803,-615787.7975888784,-702920.4333404037,1549964.4216962978,1376375.508356135,-2570084.9310383038,-1740245.8043692138,637290.6836242174,3460963.357025273,964156.3720831837,-1266118.1464515445,-1026039.4305137742,-2862290.2908535833,-1550631.3230320078,1718721.3942895844,773753.1441974172,-689186.3213219654,1831274.8462195229,-147726.6032726536,-462961.5086732527,-1160345.2076674795,-583980.2973498512,3913250.2146990392
-535739.6534694365,-189947.81385854702,360001.8697331256,447705.5319225115,460946.6168460758,1021586.4003996748,402951.2301469805,-1218897.6129678986,500273.83549382334,109997.58822166886,-1542340.3656109564,-106665.92488059026,189753.84304173215,-708109.584006904,598794.1851039219,-184212.87523838275,205358.0202979861,-218882.7973231161,693675.3378403198,708958.7311439193,352029.02591166715,862616.203740387,101309.29266773966,166753.74629163728,626833.2899645559,54913.35843771133,-170535.169303371,-24195.536519604753,-754155.639880214,-267126.6027782419,-588773.2034323749,-68615.72322702984,770303.5632445645,1404094.3041754682,-242888.86493541006,-277257.40562696743,611362.1115135173,542891.580646081,-1013733.8862479904,-686416.4278626493,251371.29731062788,1365127.936200378,380296.9344623467,-499402.90021021647,-404707.41475084843,-1128990.1318514186,-611625.3509347666,677925.9157678221,305196.61504263274,-271839.57091496716,722320.1389739015,-58268.07325502258,-182608.60160949474,-457681.73198329844,-230342.63182555712,1543526.3536384657
1620578.126581441,574575.4801397494,-1088980.7348088154,-1354278.5986230266,-1394335.517542206,-3090232.2196215475,-1218897.6129678986,3687089.1397912633,-1513296.7401149396,-332737.14389412233,4665478.732416126,322658.02620626555,-573989.8571294855,2141983.058188433,-1811312.0974115334,557235.702281221,-621193.0736831111,662104.6790549277,-2098322.5295843435,-2144550.597690567,-1064864.1134476918,-2609356.940074528,-306452.918235326,-504417.7169584635,-1896128.4942954616,-166107.37485298852,515859.0211292723,73185.71259423588,2281274.3290256104,808040.3722220603,1781003.5520696286,207556.2718079753,-2330118.624676651,-4247292.722870952,734722.9165094938,838684.3435315216,-1849329.438534962,-1642212.5864550394,3066478.2603028156,2076362.0136044784,-760378.6276352784,-4129424.356535455,-1150376.9808084683,1510659.69294015,1224211.274608299,3415121.1373248,1850124.1182234795,-2050678.7126728352,-923197.9493739968,822297.7511661758,-2184973.5457108365,176259.45578996697,552379.1303282672,1384457.4077531912,696772.7240998654,-4669067.027869003
-665136.05740289,-235823.66079317607,446951.83288405166,555838.3349366356,572279.048336189,1268328.1956462734,500273.83549382334,-1513296.7401149396,621104.3930116511,136565.75300866892,-1914858.4686325677,-132428.8309852445,235583.48905751205,-879136.7304544362,743419.1846549757,-228706.79775321472,254957.00848561656,-271748.38163908594,861217.2825583504,880190.7025954577,437053.64368413755,1070961.6184312098,125777.77008999682,207028.88079894966,778230.3636010356,68175.67758924844,-211724.46200516928,-30037.87191554753,-936306.4208100582,-331644.99658426165,-730979.4966736131,-85187.70547837787,956353.6035017928,1743221.751214478,-301553.23717824684,-344222.2884375571,759022.4714596506,674015.4968715817,-1258578.6894430222,-852203.7462765264,312083.0893074252,1694844.8480152069,472150.67192763666,-620021.9845371698,-502454.6232348732,-1401672.6052317843,-759348.8939282488,841663.0576869438,378909.2623341176,-337496.76860237675,896781.2900389064,-72342.34542307751,-226713.71306825333,-568224.7129739986,-285977.128857181,1916331.0970859355
-146247.2207659403,-51851.232102875445,98273.5930014744,122215.01705106311,125830.42541744588,278874.35575111234,109997.58822166886,-332737.14389412233,136565.75300866892,30027.68053494423,-421030.25207295734,-29117.823759236217,51798.69612085802,-193300.14658746737,163459.48922724492,-50287.3478348458,56058.546269790095,-59750.5254811617,189360.5227470012,193531.88726731337,96097.33555564322,235477.9531203034,27655.23706188652,45520.4134436573,171113.4848214738,14989.90835227567,-46552.98570429769,-6604.179492063351,-205871.1585327418,-72920.48857697926,-160724.73529354198,-18730.526656911625,210278.71847160292,383291.42608493456,-66304.1245133687,-75685.85637233508,166890.07746988596,148199.6143229358,-276730.4682968949,-187378.13080272044,68618.9199213003,372654.79065093363,103814.73463186507,-136327.3635956445,-110477.11118497037,-308193.3045723474,-166961.84885713604,185060.87202433235,83312.53338069364,-74207.369483718,197180.2773187393,-15906.565746437684,-49848.79911828023,-124938.70106027105,-62879.35547557488,421354.0593229814
