V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
1401265458.2263625,-397312741.02208704,329592530.13372767,-1223590870.1350641,-296216344.3249963,-817780226.5295703,-706534745.0179955,1239368107.0495217,1600208705.4965305,-501573902.50361574,-2142754228.2297864,-672172155.9440291,204757740.62179527,-2464251305.0788426,-772627495.0141422,-837702769.5203433,1580554913.8483374,14759132.699178353,1385723294.28967,2407624175.9339433,-4124223773.864231,-1497090952.117074,-709295951.0223457,-181852999.74772614,-1728873189.758109,-874830746.2009321,884051579.8765943,1031738128.9878788,3934995139.936273,-475185953.6708198,-127012660.75425464,-1236303457.3677082,223566311.67473933,12114428.35432181,542599383.758086,-773175677.517994,775195306.9664634,-848298738.9733738,-90506208.0811175,-2418298400.019741,213685706.11586627,-33202166.91712587,-983059265.8352276,-761212903.3971677,-195696395.1259287,963595463.0659641,479380209.25687474,-1510896736.2095191,255432517.48746508,-1174048987.6814783,524712202.86144334,-552190555.8298906,1555263888.5561514,1031032194.976204,-693451593.9260038,-935645526.9489443
-397312741.02208704,112653469.12804493,-93452179.88974991,346935150.2002006,83988745.13864535,231872199.65962252,200329820.27152452,-351408605.2017749,-453720816.2063632,142215524.9216399,607553373.1676064,190586701.27736917,-58056707.31106843,698710180.1368847,219069660.25935683,237521007.841233,-448148208.6545324,-4184782.640492161,-392905938.76070505,-682654207.2789067,1169376325.1588485,424482959.45228165,201112727.40462708,51562332.20665259,490202154.3593254,248048219.64579144,-250662680.9545674,-292537507.6835824,-1115722717.9041426,134733523.74650073,36012982.82582455,350539658.73771125,-63389661.793411054,-3434907.2243046425,-153847829.0406497,219225091.5356057,-219797733.88905597,240525372.90580055,25661997.3539899,685680760.8990785,-60588129.68708028,9414093.54888969,278735173.7174888,215833183.16672397,55487467.230497696,-273216436.51221186,-135922757.11057693,428397431.67946804,-72424959.9132452,332888119.21483123,-148776123.828297,156567295.8314338,-440977228.79316,-292337347.25805914,196620242.02137414,265291551.9900586
329592530.13372767,-93452179.88974991,77523666.54056326,-287801578.80434805,-69673232.55559745,-192350602.0204111,-166184482.04738933,291512552.7398829,376386096.5470813,-117975513.29616101,-503998570.32333314,-158102035.68509218,48161197.1232005,-579618100.3823763,-181730199.37173542,-197036595.83170807,371763315.6886632,3471504.91963999,325936848.3219775,566298797.5262401,-970061269.5422094,-352131704.84581465,-166833947.0264922,-42773758.24703597,-406649351.02655214,-205769490.2589205,207938328.5394459,242675774.57408538,925552683.2152605,-111768786.73208795,-29874727.951606043,-290791714.2454514,52585172.50920177,2849442.2645798344,127625142.54895273,-181859137.59224865,182334175.9013971,-199528880.5274583,-21288022.122324407,-568809488.468688,50261149.74730425,-7809502.580205629,-231225988.76812872,-179045366.40261722,-46029872.32111656,226647895.14278972,112755320.6424699,-355378972.2368288,60080442.89990471,-276148801.3422326,123417887.39965828,-129881087.93577313,365814597.9785026,242509731.34842402,-163107185.87226245,-220073773.2807012
-1223590870.1350641,346935150.2002006,-287801578.80434805,1068444676.3282812,258657352.77624297,714089121.3896613,616949099.8160145,-1082221425.666977,-1397308947.2285635,437976433.4431734,1871061971.3427162,586943543.3487035,-178795317.75661916,2151794566.9764504,674661566.631061,731485569.4458945,-1380147173.8771937,-12887736.664843004,-1210019388.442557,-2102347520.127468,3601289483.739336,1307266093.445345,619360197.1371713,158794800.12660652,1509659314.4831028,763905873.300826,-771957544.6126364,-900918057.5685446,-3436054246.534699,414934365.2149379,110907987.64866982,1079545359.9896882,-195219039.5748967,-10578369.407609588,-473800055.79191536,675140241.2520734,-676903790.4113961,740738014.860789,79030399.69237448,2111668297.336899,-186591255.16595802,28992271.22357442,858411471.5291433,664694298.7027334,170882912.52092227,-841415595.9913195,-418596807.70835716,1319321362.2152615,-223044743.47036722,1025184495.7943995,-458180894.4788009,482175106.7780798,-1358062945.2353032,-900301633.5418586,605524838.0922359,817009595.7588865
-296216344.3249963,83988745.13864535,-69673232.55559745,258657352.77624297,62617773.45763942,172872218.4521491,149355810.9736856,-261992534.6464725,-338271360.34937584,106028723.30591094,452961157.72944766,142091834.0609607,-43284153.56937355,520923075.75479466,163327291.4707228,177083685.28182295,-334116705.7808193,-3119962.928913073,-292930854.366179,-508952552.4559569,871828018.8867687,316473089.7673647,149939508.14722732,38442274.2501631,365470006.14795923,184932243.90697682,-186881454.428179,-218101213.34912091,-831826594.8443483,100450522.17692626,26849463.52289482,261344692.5670795,-47260136.08437759,-2560893.611187304,-114701182.95882761,163443172.97744027,-163870106.60136655,179323588.72740635,19132290.617670067,511208998.38467985,-45171453.95458103,7018673.310830325,207810889.68166864,160914337.49892598,41368657.3475174,-203696397.27957734,-101337153.79048748,319391522.06770056,-53996397.62277425,248184593.790055,-110919975.70288849,116728680.55622281,-328770384.3542045,-217951984.7239321,146590137.29180312,197788003.5573017
-817780226.5295703,231872199.65962252,-192350602.0204111,714089121.3896613,172872218.4521491,477257536.5143608,412334537.7067075,-723296736.6238354,-933883747.9882789,292719140.3245925,1250513975.0645823,392280487.8008149,-119496866.6102634,1438140061.1367853,450906346.52785903,488884356.54703534,-922413770.6225384,-8613447.839620661,-808709801.5569617,-1405092399.112051,2406902014.4115567,873704100.897641,413945980.1429106,106129631.86620131,1008972498.0324422,510552288.1641311,-515933578.20972496,-602123627.9743809,-2296467953.0089927,277319099.3760064,74124743.8073848,721508202.4538618,-130473570.47810148,-7069995.049637873,-316661660.90819776,451226266.4341942,-452404924.38956374,495068177.06190425,52819533.47865647,1411321889.1284423,-124707238.83854629,19376825.105848894,573714584.2154478,444244777.36107916,114208654.55191489,-562355484.8749331,-279766873.230723,881761174.1801181,-149070727.80563727,685176419.0034374,-306222679.98905367,322259080.04090595,-907653898.2020403,-601711643.3650209,404699194.33019316,546043868.1017538
-706534745.0179955,200329820.27152452,-166184482.04738933,616949099.8160145,149355810.9736856,412334537.7067075,356243240.5884826,-624904171.4374245,-806844301.8542421,252899540.34133267,1080402220.3262115,338917211.8697252,-103241292.61614104,1242504878.3581238,389567991.535187,422379720.96845895,-796934625.174543,-7441730.51354985,-698698200.7102206,-1213952804.6377482,2079482781.2659202,754851100.0203156,357635471.8311171,91692451.19301708,871718468.3959136,441100089.3789928,-445749343.2261938,-520214662.12253416,-1984071449.3841386,239594420.40880182,64041297.866900876,623358938.2310243,-112724798.25835767,-6108239.260724853,-273585076.5229645,389844392.2982061,-390862712.9724101,427722334.3765284,45634309.75585562,1219334875.4102595,-107742879.52835219,16740928.445261799,495670197.8511713,383812617.5733834,98672454.89116074,-485856317.53951895,-241709214.5535485,761812141.7382296,-128792120.68682505,591969494.1206708,-264566146.2092051,278421059.76743597,-784182589.0093039,-519858720.433344,349646558.5466668,471763625.3521033
1239368107.0495217,-351408605.2017749,291512552.7398829,-1082221425.666977,-261992534.6464725,-723296736.6238354,-624904171.4374245,1096175815.7754128,1415326141.6755545,-443623793.7058716,-1895187836.2979512,-594511716.0432274,181100741.7174772,-2179540256.9340806,-683360794.2209256,-740917497.8733362,1397943080.388808,13053913.789030027,1225621631.919421,2129455629.3009257,-3647725264.6624174,-1324122255.602523,-627346357.0395719,-160842334.18379632,-1529125178.218364,-773755835.8641125,781911326.9563843,912534684.1003243,3480359450.0134754,-420284615.1761836,-112338058.78812376,-1093465244.0656638,197736234.2861975,10714769.16337889,479909333.084293,-683845641.2619916,685631929.6621684,-750289245.8744285,-80049434.6951718,-2138896590.4569042,188997201.83162168,-29366103.744092997,-869480008.5649339,-673265005.8357878,-173086312.62774697,852264985.1247844,423994282.37046856,-1336332968.072708,225920729.57906142,-1038403440.3101383,464088774.7383847,-488392373.6577789,1375574093.2924473,911910310.9940599,-613332602.1978457,-827544288.1916158
1600208705.4965305,-453720816.2063632,376386096.5470813,-1397308947.2285635,-338271360.34937584,-933883747.9882789,-806844301.8542421,1415326141.6755545,1827396719.4579618,-572784350.6383697,-2446969594.320961,-767603118.3453993,233828013.68597707,-2814110893.7462316,-882320502.7801466,-956634773.7566639,1804952600.3112667,16854545.603845082,1582459958.5455797,2749444185.0983186,-4709756276.120772,-1709638926.7029238,-809997526.7033415,-207671396.07092464,-1974328213.8450987,-999033957.4239391,1009563909.5037401,1178218107.4043734,4493662098.383148,-542649998.9337875,-145045155.09098214,-1411826391.3863802,255306912.60383883,13834362.100408109,619634382.998349,-882946513.1572117,885252877.2784992,-968735095.030067,-103355735.81311353,-2761633871.3040147,244023518.15764925,-37916011.06220997,-1122628111.3973036,-869285335.7531606,-223480193.07813045,1100400955.2422686,547439729.8569125,-1725404773.2997634,291697291.3804785,-1340733406.7378986,599207687.4774864,-630587252.0250508,1776070907.3476036,1177411948.6940742,-791903683.1705108,-1068482854.7722958
-501573902.50361574,142215524.9216399,-117975513.29616101,437976433.4431734,106028723.30591094,292719140.3245925,252899540.34133267,-443623793.7058716,-572784350.6383697,179535132.85586944,766985009.2303067,240599673.0198507,-73291707.87906583,882062807.4470812,276557011.8315573,299850285.4458886,-565749402.7346723,-5282935.9920896385,-496010685.5672396,-861793492.8362503,1476239210.103211,535874017.3228793,253887895.2814296,65093105.020786926,618838970.2321147,313140004.3934515,-316440541.9764906,-369303986.7837618,-1408506045.4659505,170089736.37645316,45463360.242370315,442526821.9398807,-80024114.0468798,-4336281.279272933,-194219938.13186803,276753230.49424744,-277476143.47877556,303643043.7917446,32396111.944037255,865614262.153361,-76487415.56550542,11884500.87167618,351879702.11416125,272471232.247885,70048258.2306515,-344912760.3399424,-171591043.37084103,540815708.8853593,-91430417.06156269,420243238.17745155,-187817337.22302324,197653036.05405048,-556696644.0703512,-369051301.5492954,248216510.39919174,334908260.9709529
