stats,fit,fore,change,type,roi
corr,0.9811808085543835,0.9038470198475749,-0.07733378870680863,AG,arsmnswanlake1_AG_1000
R2,0.9627157790754339,0.8169394352873425,-0.14577634378809146,AG,arsmnswanlake1_AG_1000
RMSE,0.005420750822613295,0.012642510205625172,0.007221759383011877,AG,arsmnswanlake1_AG_1000
nRMSE,0.06243594087390493,0.14561580960395737,0.08317986873005244,AG,arsmnswanlake1_AG_1000
corr,0.9657861600176593,0.9766000222020885,0.010813862184429257,GR,bullshoals_GR_1000
R2,0.9327429068816556,0.9537476033651198,0.021004696483464147,GR,bullshoals_GR_1000
RMSE,0.007898500196456215,0.010751694772466144,0.002853194576009929,GR,bullshoals_GR_1000
nRMSE,0.0807968718150138,0.10998332375997891,0.02918645194496511,GR,bullshoals_GR_1000
corr,0.916877662909727,0.7829824968641728,-0.1338951660455543,GR,cperuvb_GR_1000
R2,0.8406646487428033,0.6130615903956543,-0.227603058347149,GR,cperuvb_GR_1000
RMSE,0.004135356570416484,0.006998184886378722,0.0028628283159622386,GR,cperuvb_GR_1000
nRMSE,0.09472541893581063,0.16030201600867508,0.06557659707286445,GR,cperuvb_GR_1000
corr,0.55731484828282,0.3818917715813783,-0.17542307670144164,AG,goodwater_AG_1000
R2,0.3105998401165026,0.14584132520156368,-0.16475851491493892,AG,goodwater_AG_1000
RMSE,0.02657935293818568,0.03839908543572408,0.011819732497538402,AG,goodwater_AG_1000
nRMSE,0.20394669432714885,0.294640977830225,0.09069428350307618,AG,goodwater_AG_1000
corr,0.9248282945665821,0.929425080394853,0.004596785828270944,AG,harvardfarmnorth_AG_1000
R2,0.8553073744309327,0.8638309800669791,0.008523605636046372,AG,harvardfarmnorth_AG_1000
RMSE,0.012897834279749066,0.012502119837626141,-3.957144421229252e-4,AG,harvardfarmnorth_AG_1000
nRMSE,0.1226245516535614,0.11886234592229758,-0.003762205731263818,AG,harvardfarmnorth_AG_1000
corr,0.9214555816485159,0.860771516326513,-0.06068406532200288,AG,harvardfarmsouth_AG_1000
R2,0.8490803889512049,0.7409276033190446,-0.10815278563216024,AG,harvardfarmsouth_AG_1000
RMSE,0.015697699411403858,0.019854413604061608,0.00415671419265775,AG,harvardfarmsouth_AG_1000
nRMSE,0.1250663220444079,0.15818359243167437,0.03311727038726647,AG,harvardfarmsouth_AG_1000
corr,0.9732524016823267,0.873199849293053,-0.10005255238927369,AG,humnokericea_AG_1000
R2,0.9472202373804172,0.7624779768054104,-0.18474226057500676,AG,humnokericea_AG_1000
RMSE,0.01119528466378303,0.02280558447797183,0.011610299814188799,AG,humnokericea_AG_1000
nRMSE,0.07257553734211758,0.14784148841201264,0.07526595106989506,AG,humnokericea_AG_1000
corr,0.9712257199850199,0.8617428690522783,-0.10948285093274168,AG,humnokericec_AG_1000
R2,0.9432793991604205,0.7426007723624519,-0.20067862679796855,AG,humnokericec_AG_1000
RMSE,0.0127274437751083,0.02282926592218607,0.010101822147077768,AG,humnokericec_AG_1000
nRMSE,0.07462970850224392,0.13386360145821657,0.05923389295597266,AG,humnokericec_AG_1000
corr,0.7186051157721984,0.4289528463551214,-0.28965226941707706,GR,ibp_GR_1000
R2,0.5163933124139748,0.18400054439616045,-0.33239276801781437,GR,ibp_GR_1000
RMSE,0.0052734398736077335,0.007507141269751365,0.002233701396143631,GR,ibp_GR_1000
nRMSE,0.15602816360754287,0.2221179143662751,0.06608975075873222,GR,ibp_GR_1000
corr,0.9629199256044157,0.9684032666683894,0.005483341063973635,GR,kansas_GR_1000
R2,0.9272147831260135,0.9378048868940078,0.010590103767994297,GR,kansas_GR_1000
RMSE,0.009713367514078159,0.008215240863652886,-0.0014981266504252733,GR,kansas_GR_1000
nRMSE,0.09196588229965806,0.07778166256295975,-0.014184219736698311,GR,kansas_GR_1000
corr,0.8294590698681392,0.44313466169668725,-0.38632440817145197,GR,kendall_GR_1000
R2,0.6880023485865185,0.19636832839703755,-0.491634020189481,GR,kendall_GR_1000
RMSE,0.007285398851520019,0.010215056351379297,0.0029296574998592785,GR,kendall_GR_1000
nRMSE,0.14389063826906212,0.2017529868042483,0.05786234853518618,GR,kendall_GR_1000
corr,0.8369037446173313,0.7841964529635634,-0.05270729165376786,GR,lethbridge_GR_1000
R2,0.7004078777545112,0.6149640768406343,-0.08544380091387693,GR,lethbridge_GR_1000
RMSE,0.010158529083790462,0.01110715302949772,9.486239457072582e-4,GR,lethbridge_GR_1000
nRMSE,0.15512283481897898,0.16960851817151093,0.014485683352531947,GR,lethbridge_GR_1000
corr,0.7922692114332747,0.8151438080985399,0.022874596665265257,AG,mandanh5_AG_1000
R2,0.6276905033851029,0.6644594278813892,0.036768924496286326,AG,mandanh5_AG_1000
RMSE,0.017915159054521027,0.017850214857058344,-6.494419746268243e-5,AG,mandanh5_AG_1000
nRMSE,0.1726591739565106,0.17203326762472473,-6.259063317858582e-4,AG,mandanh5_AG_1000
corr,0.9787495377777288,0.9364602729987137,-0.04228926477901507,GR,nationalelkrefuge_GR_1000
R2,0.9579506577001178,0.8769578429048254,-0.08099281479529241,GR,nationalelkrefuge_GR_1000
RMSE,0.0057421297053801825,0.010912149734272356,0.005170020028892173,GR,nationalelkrefuge_GR_1000
nRMSE,0.05683532485455141,0.10800793552743572,0.05117261067288431,GR,nationalelkrefuge_GR_1000
corr,0.9837907641288773,0.9751864044469061,-0.008604359681971263,GR,oakville_GR_1000
R2,0.9678442675852804,0.9509885234180847,-0.016855744167195708,GR,oakville_GR_1000
RMSE,0.006754257578907426,0.008508727805531066,0.0017544702266236402,GR,oakville_GR_1000
nRMSE,0.06482013031581026,0.0816576564830237,0.016837526167213443,GR,oakville_GR_1000
corr,0.9754320918634157,0.9278772103498008,-0.04755488151361498,AG,rosemountnprs_AG_1000
R2,0.9514677658370392,0.8609561174865283,-0.09051164835051084,AG,rosemountnprs_AG_1000
RMSE,0.008763890297647466,0.01437512186454332,0.005611231566895854,AG,rosemountnprs_AG_1000
nRMSE,0.06762926366326526,0.11093006344793432,0.04330079978466907,AG,rosemountnprs_AG_1000
corr,0.6914291598617973,0.49206270241135597,-0.19936645745044135,GR,sevilletagrass_GR_1000
R2,0.47807428310719063,0.24212570310436615,-0.23594858000282448,GR,sevilletagrass_GR_1000
RMSE,0.003678389843628695,0.003945949574768323,2.675597311396281e-4,GR,sevilletagrass_GR_1000
nRMSE,0.1606108435161527,0.17229339918211176,0.011682555665959049,GR,sevilletagrass_GR_1000
corr,0.672039599895136,0.7757215942690031,0.10368199437386716,AG,silverton_AG_1000
R2,0.4516372238272143,0.6017439918152439,0.15010676798802958,AG,silverton_AG_1000
RMSE,0.02282463575199722,0.023270326371003392,4.456906190061713e-4,AG,silverton_AG_1000
nRMSE,0.2171169430207295,0.22135652808062117,0.004239585059891665,AG,silverton_AG_1000
corr,0.5374359006269415,0.5502422166561327,0.012806316029191245,AG,southerngreatplains_AG_1000
R2,0.2888373472826917,0.3027664969906544,0.013929149707962662,AG,southerngreatplains_AG_1000
RMSE,0.0266130061865754,0.029339821455903484,0.0027268152693280846,AG,southerngreatplains_AG_1000
nRMSE,0.25913976666009786,0.2856916814518706,0.026551914791772768,AG,southerngreatplains_AG_1000
corr,0.9907264965258891,0.966090324560936,-0.024636171964953046,GR,stjones_GR_1000
R2,0.9815389909184626,0.9333305152102548,-0.048208475708207854,GR,stjones_GR_1000
RMSE,0.0045581086823078135,0.008864292672002424,0.00430618398969461,GR,stjones_GR_1000
nRMSE,0.04454758289980273,0.08663304018767032,0.04208545728786759,GR,stjones_GR_1000
corr,0.8432221136916801,0.8531021816083841,0.009880067916704038,GR,tonzi_GR_1000
R2,0.7110235330186647,0.7277833322649845,0.016759799246319762,GR,tonzi_GR_1000
RMSE,0.010880905704518811,0.011175618075976676,2.9471237145786526e-4,GR,tonzi_GR_1000
nRMSE,0.13548631184807378,0.13915599646341265,0.0036696846153388696,GR,tonzi_GR_1000
corr,0.9661120468607889,0.9426925000618377,-0.023419546798951196,GR,uwmfieldsta_GR_1000
R2,0.9333724870895431,0.8886691496728378,-0.04470333741670529,GR,uwmfieldsta_GR_1000
RMSE,0.009214288057120467,0.011526197571887465,0.0023119095147669973,GR,uwmfieldsta_GR_1000
nRMSE,0.08557996686244122,0.10705239516468304,0.021472428302241817,GR,uwmfieldsta_GR_1000
corr,0.8785551173861718,0.9274228107083283,0.04886769332215657,GR,vaira_GR_1000
R2,0.77185909428543,0.8601130698221359,0.08825397553670589,GR,vaira_GR_1000
RMSE,0.014018883296790713,0.013009669268134513,-0.0010092140286562003,GR,vaira_GR_1000
nRMSE,0.1424032027709961,0.1321516508520952,-0.010251551918900897,GR,vaira_GR_1000
corr,0.658658005456965,0.680374443186963,0.021716437729998095,AG,kelloggcornsoy2_AG_1000
R2,0.4338303681525473,0.46290938294197004,0.029079014789422764,AG,kelloggcornsoy2_AG_1000
RMSE,0.021169297577022544,0.0652276161389627,0.04405831856194016,AG,kelloggcornsoy2_AG_1000
nRMSE,0.12061659275035777,0.37164826954152036,0.25103167679116256,AG,kelloggcornsoy2_AG_1000
corr,0.8387705478544343,0.8355305058362519,-0.0032400420181823986,AG,kelloggmiscanthus_AG_1000
R2,0.703536031948028,0.6981112261829828,-0.005424805765045226,AG,kelloggmiscanthus_AG_1000
RMSE,0.02079818766007478,0.028366356900188922,0.0075681692401141434,AG,kelloggmiscanthus_AG_1000
nRMSE,0.1578127946496404,0.21523866067625572,0.05742586602661531,AG,kelloggmiscanthus_AG_1000
corr,0.6329756717867979,0.2668361129630684,-0.3661395588237295,GR,silversalmonlks_GR_1000
R2,0.4006582010739484,0.0712015111812394,-0.329456689892709,GR,silversalmonlks_GR_1000
RMSE,0.01604246279392883,0.03973867824481178,0.023696215450882952,GR,silversalmonlks_GR_1000
nRMSE,0.12950524959781093,0.3207965953163413,0.19129134571853038,GR,silversalmonlks_GR_1000
corr,0.8997807267791728,0.771039027517377,-0.1287416992617958,GR,ahwahnee_GR_3000
R2,0.8096053562832565,0.5945011819549424,-0.21510417432831408,GR,ahwahnee_GR_3000
RMSE,0.010204188016734592,0.01567127207230868,0.0054670840555740875,GR,ahwahnee_GR_3000
nRMSE,0.13237493454326155,0.20329727474439,0.07092234020112845,GR,ahwahnee_GR_3000
